time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,city
2025-10-22 06:00:00,9.7,7.3,85.0,0.0,,227.0,27.7,,1003.2,,3.0,Toronto
2025-10-22 07:00:00,8.9,6.7,86.0,0.0,,237.0,24.8,,1003.0,,3.0,Toronto
2025-10-22 08:00:00,8.3,6.4,88.0,0.0,,250.0,23.4,,1002.9,,3.0,Toronto
2025-10-22 09:00:00,8.0,6.5,90.0,0.0,,261.0,20.9,,1002.8,,3.0,Toronto
2025-10-22 10:00:00,7.7,6.2,90.0,0.0,,257.0,20.2,,1002.6,,3.0,Toronto
2025-10-22 11:00:00,7.3,5.8,90.0,0.0,,249.0,20.9,,1002.7,,3.0,Toronto
2025-10-22 12:00:00,7.0,5.5,90.0,0.0,,252.0,23.0,,1003.0,,3.0,Toronto
2025-10-22 13:00:00,7.5,5.1,85.0,0.0,,259.0,22.7,,1003.2,,3.0,Toronto
2025-10-22 14:00:00,8.4,5.0,79.0,0.0,,262.0,21.6,,1003.5,,1.0,Toronto
2025-10-22 15:00:00,9.4,4.6,72.0,0.0,,256.0,20.2,,1003.3,,3.0,Toronto
2025-10-22 16:00:00,9.9,4.1,67.0,0.0,,251.0,20.9,,1003.2,,3.0,Toronto
2025-10-22 17:00:00,10.4,3.9,64.0,0.0,,246.0,20.2,,1002.9,,3.0,Toronto
2025-10-22 18:00:00,10.9,4.1,63.0,0.2,,236.0,21.6,,1002.4,,7.0,Toronto
2025-10-22 19:00:00,11.4,4.6,63.0,0.0,,225.0,22.0,,1002.1,,3.0,Toronto
2025-10-22 20:00:00,10.4,4.7,68.0,0.3,,227.0,22.7,,1002.2,,8.0,Toronto
